Order No,Time from Pickup to Arrival
Order_No_19831,1093.87
Order_No_28105,2283.42
Order_No_24585,3114.3
Order_No_23807,1931.1
Order_No_24697,1621.62
Order_No_19103,1502.45
Order_No_6192,2665.64
Order_No_24346,1573.98
Order_No_9862,1437.21
Order_No_24734,1472.76
Order_No_18189,431.69
Order_No_27172,3769.98
Order_No_14011,1244.16
Order_No_20671,3152.84
Order_No_17099,1235.06
Order_No_22897,1590.5
Order_No_22494,2564.85
Order_No_4077,1343.9
Order_No_21220,1376.75
Order_No_13220,1531.09
Order_No_19174,1775.99
Order_No_18713,1160.82
Order_No_21298,454.84
Order_No_10814,1134.2
Order_No_23640,1285.46
Order_No_12642,1546.84
Order_No_14796,2862.83
Order_No_6235,1251.96
Order_No_17745,1665.0
Order_No_22977,2310.08
Order_No_13495,2409.49
Order_No_28033,810.04
Order_No_2273,969.62
Order_No_22178,2208.37
Order_No_23625,2120.41
Order_No_10849,2377.62
Order_No_26443,737.49
Order_No_20259,2415.22
Order_No_15020,911.16
Order_No_20222,1843.56
Order_No_1227,792.75
Order_No_14684,1213.36
Order_No_7219,1181.44
Order_No_23991,1688.78
Order_No_3544,880.84
Order_No_12140,1898.33
Order_No_16428,1419.72
Order_No_24237,1074.22
Order_No_20812,1315.62
Order_No_17969,1076.44
Order_No_7106,1617.55
Order_No_25181,1175.77
Order_No_20059,2470.1
Order_No_11464,1487.35
Order_No_19530,873.5
Order_No_7266,1561.81
Order_No_14776,885.23
Order_No_8187,1902.22
Order_No_11058,502.05
Order_No_24929,2016.37
Order_No_14431,1272.78
Order_No_23643,987.29
Order_No_5633,1594.37
Order_No_21622,641.89
Order_No_1008,1318.48
Order_No_8970,1588.92
Order_No_16328,1283.18
Order_No_5604,1136.23
Order_No_23474,1339.33
Order_No_10688,1688.92
Order_No_18491,862.3
Order_No_20857,1607.29
Order_No_28176,1684.44
Order_No_13933,1367.62
Order_No_21397,1278.93
Order_No_27085,1026.65
Order_No_9860,1491.13
Order_No_19842,1329.65
Order_No_2690,1368.07
Order_No_13189,871.26
Order_No_21567,1248.65
Order_No_26409,1195.84
Order_No_13863,3640.89
Order_No_4153,1204.58
Order_No_27691,1512.84
Order_No_11007,1660.63
Order_No_22244,1443.62
Order_No_1004,1156.47
Order_No_27383,1747.77
Order_No_2127,1448.52
Order_No_18020,2455.31
Order_No_8516,2039.16
Order_No_10405,1424.88
Order_No_1078,1516.06
Order_No_11513,1495.43
Order_No_12856,1476.23
Order_No_11810,758.06
Order_No_23272,1840.7
Order_No_20209,1216.9
Order_No_12748,1386.36
Order_No_12539,1295.01
Order_No_5529,1903.17
Order_No_2518,759.4
Order_No_21137,1083.99
Order_No_27969,1517.14
Order_No_23008,1233.16
Order_No_5583,1559.53
Order_No_4761,1339.52
Order_No_9669,1650.08
Order_No_24806,1169.63
Order_No_18985,1694.38
Order_No_12565,1851.69
Order_No_9560,890.19
Order_No_18862,929.32
Order_No_4922,1271.15
Order_No_21441,1104.54
Order_No_9159,1463.81
Order_No_9022,2352.38
Order_No_27049,1426.9
Order_No_26486,1828.63
Order_No_4097,1101.97
Order_No_23139,865.8
Order_No_25363,840.79
Order_No_26892,702.28
Order_No_3469,614.67
Order_No_23231,1290.53
Order_No_15424,2262.94
Order_No_19610,2435.01
Order_No_24926,891.95
Order_No_637,645.98
Order_No_27648,1147.59
Order_No_25227,2312.83
Order_No_9982,1650.37
Order_No_4345,2147.7
Order_No_8175,1003.39
Order_No_2570,905.89
Order_No_3236,2060.42
Order_No_19276,1105.64
Order_No_3115,2224.35
Order_No_2920,2493.9
Order_No_25352,1689.16
Order_No_27839,876.51
Order_No_9256,1694.64
Order_No_482,1886.58
Order_No_13576,797.17
Order_No_19782,1815.18
Order_No_22117,1543.26
Order_No_3924,2201.08
Order_No_16930,2229.62
Order_No_9752,1318.52
Order_No_18856,1203.39
Order_No_1465,1556.83
Order_No_2207,1911.39
Order_No_26647,799.97
Order_No_9598,2445.38
Order_No_6136,1376.37
Order_No_20868,2111.79
Order_No_11640,1409.8
Order_No_21036,1393.94
Order_No_9937,2619.65
Order_No_1938,1666.93
Order_No_14352,4190.0
Order_No_8111,1549.23
Order_No_1288,1890.89
Order_No_17199,2845.78
Order_No_24205,642.95
Order_No_15545,1806.38
Order_No_8149,1645.61
Order_No_10383,1412.62
Order_No_7098,1684.57
Order_No_13355,2528.61
Order_No_26792,931.97
Order_No_13673,1873.37
Order_No_19983,1288.13
Order_No_23886,1645.23
Order_No_17985,1057.32
Order_No_13813,1050.89
Order_No_21233,1595.79
Order_No_40,938.26
Order_No_15654,1071.45
Order_No_24330,957.03
Order_No_6840,1597.99
Order_No_19400,2247.93
Order_No_6424,2002.38
Order_No_0,1593.75
Order_No_1948,1697.77
Order_No_14959,921.81
Order_No_15036,595.29
Order_No_6783,1824.66
Order_No_19301,1035.34
Order_No_19236,1497.47
Order_No_20758,1167.57
Order_No_20276,821.5
Order_No_23465,789.54
Order_No_23480,1460.44
Order_No_10219,1729.73
Order_No_23825,1209.21
Order_No_21537,1453.0
Order_No_14307,544.67
Order_No_12599,1231.5
Order_No_20086,1303.47
Order_No_16151,2266.47
Order_No_19898,1029.73
Order_No_5079,887.71
Order_No_5214,1019.5
Order_No_2073,2754.86
Order_No_9998,1445.94
Order_No_7108,1784.6
Order_No_15679,1566.82
Order_No_24154,1368.06
Order_No_22713,1064.78
Order_No_11668,1964.39
Order_No_4660,1690.62
Order_No_14109,1324.08
Order_No_25088,2141.51
Order_No_16572,1020.02
Order_No_10080,1068.43
Order_No_3932,1312.59
Order_No_18616,1607.91
Order_No_19394,2569.36
Order_No_16721,429.69
Order_No_24724,1765.76
Order_No_11295,1343.95
Order_No_9978,1744.12
Order_No_26105,927.64
Order_No_1112,1829.62
Order_No_18747,2568.8
Order_No_21720,1693.73
Order_No_152,897.95
Order_No_26186,2041.81
Order_No_12831,2041.84
Order_No_13821,956.7
Order_No_653,2332.86
Order_No_5489,749.52
Order_No_17245,1235.6
Order_No_22849,1939.9
Order_No_19745,1075.15
Order_No_20148,1457.71
Order_No_20574,1270.76
Order_No_459,1835.65
Order_No_14453,1277.18
Order_No_1356,1291.9
Order_No_15141,831.08
Order_No_25880,1391.47
Order_No_25118,2406.16
Order_No_12977,1974.9
Order_No_6639,1138.49
Order_No_19810,835.1
Order_No_17504,1318.82
Order_No_399,978.14
Order_No_13027,3286.33
Order_No_7193,1839.62
Order_No_1115,933.05
Order_No_14790,2247.77
Order_No_27724,1790.67
Order_No_15235,3465.06
Order_No_24075,1616.5
Order_No_18672,1705.02
Order_No_7833,1306.11
Order_No_9084,1562.67
Order_No_11596,1242.77
Order_No_10977,1772.59
Order_No_7261,1408.97
Order_No_380,1042.22
Order_No_17369,2404.56
Order_No_22984,1820.98
Order_No_21905,1847.32
Order_No_15515,725.97
Order_No_15426,563.25
Order_No_6549,2084.88
Order_No_15238,1751.37
Order_No_2433,2661.39
Order_No_18083,1916.34
Order_No_9621,850.11
Order_No_8499,2024.43
Order_No_9073,1603.3
Order_No_12853,2538.7
Order_No_23266,2168.3
Order_No_14405,2365.22
Order_No_18499,863.52
Order_No_23493,1161.74
Order_No_7079,2189.58
Order_No_4182,1107.54
Order_No_25009,1430.91
Order_No_8196,1021.01
Order_No_2274,1425.28
Order_No_26935,2112.61
Order_No_1237,2113.32
Order_No_8924,3219.96
Order_No_26255,1223.49
Order_No_20995,1916.97
Order_No_22833,1474.03
Order_No_7180,1018.36
Order_No_9866,1225.39
Order_No_26778,883.2
Order_No_22857,1623.99
Order_No_22660,1446.33
Order_No_14475,1281.04
Order_No_14799,3021.84
Order_No_12813,783.74
Order_No_7786,991.5
Order_No_15245,1318.73
Order_No_25049,946.93
Order_No_23161,2045.77
Order_No_16300,1157.32
Order_No_24973,1693.28
Order_No_13485,1170.26
Order_No_21191,1324.9
Order_No_1929,2327.34
Order_No_8098,2121.86
Order_No_5939,2361.69
Order_No_13578,1596.01
Order_No_7347,2192.8
Order_No_3494,1208.82
Order_No_19007,767.3
Order_No_9769,1358.02
Order_No_26436,1949.68
Order_No_25480,1038.69
Order_No_23237,1229.27
Order_No_20579,1386.56
Order_No_28243,1427.19
Order_No_2832,859.72
Order_No_3870,1001.25
Order_No_17832,2434.46
Order_No_5740,1470.2
Order_No_17103,1355.22
Order_No_27825,1461.02
Order_No_13786,3823.91
Order_No_24974,1140.07
Order_No_11769,682.27
Order_No_18513,990.59
Order_No_1776,815.46
Order_No_23230,900.68
Order_No_7645,1669.46
Order_No_10130,1734.59
Order_No_19147,1023.76
Order_No_27116,889.11
Order_No_21929,1931.95
Order_No_21672,1822.96
Order_No_14929,1721.71
Order_No_11808,2022.4
Order_No_26156,2016.59
Order_No_6908,1298.5
Order_No_19807,795.54
Order_No_12880,1353.86
Order_No_1547,2315.62
Order_No_10387,994.99
Order_No_20876,767.16
Order_No_8864,1336.5
Order_No_23664,802.68
Order_No_12351,2203.61
Order_No_21917,1439.0
Order_No_11517,849.38
Order_No_25755,1968.7
Order_No_1924,623.07
Order_No_10052,1147.01
Order_No_15623,1196.65
Order_No_5801,2605.2
Order_No_1677,1624.25
Order_No_14791,1860.99
Order_No_10311,1736.74
Order_No_9095,1457.68
Order_No_20212,1619.17
Order_No_4631,1229.97
Order_No_27983,795.98
Order_No_23690,1265.63
Order_No_9896,1301.1
Order_No_6419,1162.99
Order_No_27099,2141.64
Order_No_27128,1225.97
Order_No_8329,1831.57
Order_No_25476,1029.51
Order_No_25575,2598.95
Order_No_27199,1617.12
Order_No_6579,2345.45
Order_No_26967,2014.88
Order_No_11280,405.28
Order_No_10660,1263.16
Order_No_20723,1392.92
Order_No_16228,1148.89
Order_No_3188,1545.18
Order_No_867,1194.21
Order_No_18462,1616.05
Order_No_20644,2094.52
Order_No_22927,803.14
Order_No_27202,1971.85
Order_No_12583,1469.99
Order_No_9729,1589.85
Order_No_3328,1602.74
Order_No_8953,2951.64
Order_No_3074,1422.62
Order_No_20197,1803.82
Order_No_17047,1748.76
Order_No_25090,1022.95
Order_No_21314,1671.22
Order_No_10722,1503.54
Order_No_15717,1795.19
Order_No_23711,3316.67
Order_No_21659,1691.95
Order_No_20441,1708.87
Order_No_24581,1987.88
Order_No_6179,1464.77
Order_No_20815,1156.34
Order_No_2344,1685.32
Order_No_12902,1493.28
Order_No_135,1016.82
Order_No_26580,1684.11
Order_No_1751,1179.07
Order_No_9709,1774.39
Order_No_2501,1510.33
Order_No_17871,876.77
Order_No_21452,905.63
Order_No_7297,1850.69
Order_No_20542,1390.13
Order_No_1513,1205.07
Order_No_21071,1870.85
Order_No_24692,3208.04
Order_No_4871,2152.39
Order_No_7987,1712.95
Order_No_4878,1071.87
Order_No_26159,1693.42
Order_No_13162,1481.04
Order_No_519,2380.23
Order_No_21050,841.3
Order_No_17446,1701.45
Order_No_9092,1150.21
Order_No_16340,1660.0
Order_No_21913,1583.72
Order_No_23243,1358.48
Order_No_23589,916.16
Order_No_11532,975.74
Order_No_21139,1068.45
Order_No_15387,1664.03
Order_No_5735,626.54
Order_No_1905,2122.4
Order_No_27442,831.67
Order_No_3439,1638.76
Order_No_2544,1438.42
Order_No_11152,1547.73
Order_No_27198,2520.42
Order_No_19472,1515.48
Order_No_13493,1246.79
Order_No_26088,1252.6
Order_No_10716,794.93
Order_No_11549,937.38
Order_No_3190,1299.08
Order_No_16876,2167.46
Order_No_16581,4236.03
Order_No_15873,1936.57
Order_No_16172,1917.86
Order_No_3225,3374.37
Order_No_17034,905.29
Order_No_8072,1989.04
Order_No_6325,1052.13
Order_No_16052,1523.59
Order_No_4548,973.55
Order_No_14533,826.71
Order_No_1047,1600.47
Order_No_17723,784.38
Order_No_6384,603.08
Order_No_3254,2824.15
Order_No_1550,836.47
Order_No_5515,1918.21
Order_No_25797,1420.02
Order_No_7796,1094.26
Order_No_27018,2336.44
Order_No_153,998.05
Order_No_16842,762.42
Order_No_24311,1755.77
Order_No_21793,1173.75
Order_No_15812,1875.56
Order_No_26485,1743.85
Order_No_4556,1365.98
Order_No_23866,1539.06
Order_No_13417,2293.74
Order_No_665,2632.47
Order_No_24545,1477.71
Order_No_18576,3420.71
Order_No_25287,1219.39
Order_No_26576,1980.92
Order_No_17256,1245.56
Order_No_20509,2173.76
Order_No_17571,2299.4
Order_No_15252,1693.89
Order_No_9281,1662.63
Order_No_3262,1863.68
Order_No_2862,1164.32
Order_No_15958,720.12
Order_No_20407,1328.54
Order_No_15905,1492.25
